Lesson,Prompt,Start,End,Time Lapsed (s),Word Count,WPM
0,video camera with a zoom lens,Thu Nov 17 17:36:16 2022,Thu Nov 17 17:36:53 2022,37.443651,6,9.614447
0,have a good weekend,Thu Nov 17 17:38:55 2022,Thu Nov 17 17:39:11 2022,15.300042,4,15.686231
0,what a monkey sees a monkey will do,Thu Nov 17 17:39:52 2022,Thu Nov 17 17:40:16 2022,23.974459,8,20.021307
0,that is very unfortunate,Thu Nov 17 17:40:28 2022,Thu Nov 17 17:40:43 2022,15.15967,4,15.831479
0,the back yard of our house,Thu Nov 17 17:41:05 2022,Thu Nov 17 17:41:18 2022,13.709476,6,26.259209
0,I can see the rings on Saturn,Thu Nov 17 17:41:36 2022,Thu Nov 17 17:41:51 2022,15.08967,7,27.833611
0,this is a very good idea,Thu Nov 17 17:42:01 2022,Thu Nov 17 17:42:13 2022,12.306079,6,29.253835
1,a bad aged face,Thu Nov 17 17:43:44 2022,Thu Nov 17 17:43:52 2022,7.754185,4,30.951027
1,he had added a bed,Thu Nov 17 17:44:02 2022,Thu Nov 17 17:44:11 2022,8.570421,5,35.004115
1,a cabbage bed had each hedge,Thu Nov 17 17:44:25 2022,Thu Nov 17 17:44:38 2022,13.042122,6,27.602869
1,he added beach baggage,Thu Nov 17 17:44:51 2022,Thu Nov 17 17:45:13 2022,21.977505,4,10.920257
1,abe had defaced caged beef,Thu Nov 17 17:45:30 2022,Thu Nov 17 17:45:42 2022,11.861313,5,25.292309
1,chad had beheaded a egghead,Thu Nov 17 17:45:52 2022,Thu Nov 17 17:46:07 2022,14.219284,5,21.098109
1,a dead bee had faded,Thu Nov 17 17:46:20 2022,Thu Nov 17 17:46:29 2022,8.896611,5,33.720705
1,each had acceded a beachhead,Thu Nov 17 17:46:41 2022,Thu Nov 17 17:46:55 2022,13.48694,5,22.24374
1,ahab gaffed a beef chef,Thu Nov 17 17:47:05 2022,Thu Nov 17 17:47:15 2022,10.009081,5,29.972783
1,a headache hagged a chef,Thu Nov 17 17:48:26 2022,Thu Nov 17 17:48:37 2022,10.790768,5,27.801544
2,look on in no opinion,Thu Nov 17 17:49:10 2022,Thu Nov 17 17:49:19 2022,8.7479,5,34.293947
2,i loom in noon,Thu Nov 17 17:49:35 2022,Thu Nov 17 17:49:41 2022,6.781173,4,35.392109
2,joni in no kimono,Thu Nov 17 17:50:01 2022,Thu Nov 17 17:50:08 2022,7.324374,4,32.767306
2,i join in on pool polo,Thu Nov 17 17:50:19 2022,Thu Nov 17 17:50:28 2022,8.914208,6,40.384966
